0	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0
100	0.1772 0.2138 0.3396 0.1902 0.2108 0.03578 -0.04238 0.03975 -0.1169 0.163 -0.07713	0.006322 -0.1132 0.008245 0.1229 -0.009094 -0.0949 0.07391 0.05635 0.04867 -0.4443 -0.01992	-0.1743 -0.07657 -0.0696 -0.1494 -0.02975 0.3131 0.23 -0.01363 -0.03536 -0.3258 0.04982	-0.05735 0.01677 0.1558 0.005859 -0.05529 0.1366 0.003356 -0.001694 -0.1243 -0.07861 -0.2172	0.2656 -0.03817 0.05512 0.0299 -0.2797 -0.1069 -0.2061 -0.07146 -0.01603 -0.09504 0.09721	0.1944 0.3505 0.1119 0.0752 0.1501 0.5304 0.04373 0.2189 -0.02729 -0.05108 0.09872	0.06717 -0.07816 0.1276 0.3081 0.2587 -0.1338 0.1109 0.2628 0.06324 -0.2259 -0.3116	-0.338 -0.01379 0.0311 -0.1136 0.04859 -0.2591 -0.04457 -0.004318 -0.1017 0.1174 -0.03224	0.06458 -0.04416 0.3281 0.114 -0.04904 -0.05856 -0.04911 0.01803 -0.2027 0.006004 -0.04036	-0.02877 -0.2026 -0.1945 -0.1521 -0.2279 0.2224 -0.1224 0.03524 -0.1225 -0.2457 -0.03418	-0.06026 -0.2766 0.002794 -0.2399 -0.2719 -0.038 -0.1828 0.2612 -0.01332 -0.1573 -0.2281
200	0.2676 0.1519 0.4313 -0.1095 0.04291 -0.1276 0.04767 -0.0297 -0.1218 -0.02899 0.07175	0.09566 0.08907 0.008578 0.06827 -0.07236 -0.05939 -0.003713 0.1497 0.02481 -0.3339 -0.1023	-0.1518 -0.1236 -0.3635 -0.1148 -0.01146 0.4673 0.3523 0.1592 -0.1034 -0.1103 -0.02856	0.1194 0.0872 0.2408 0.02382 -0.2058 -0.049 -0.02602 0.1309 -0.1559 -0.1264 -0.318	0.4167 0.06913 0.1928 -0.1043 -0.3157 0.08594 -0.3652 -0.3339 -0.1192 -0.04965 0.08665	0.2626 0.1468 -0.02026 0.3571 -0.04208 0.774 -0.08263 0.04284 -0.1046 -0.1223 0.1335	-0.002892 -0.4878 0.2399 0.1261 0.2027 0.2249 0.1608 0.3395 0.08192 -0.253 -0.1356	-0.4478 -0.237 -0.2688 0.06628 -0.1226 -0.4729 -0.08054 -0.1816 -0.1743 0.2771 -0.3089	0.08106 -0.1201 0.1842 0.2558 -0.2423 -0.06073 -0.05621 -0.2237 -0.3534 -0.1956 0.09541	-0.06117 -0.3528 -0.2369 0.2772 -0.5582 0.05438 0.03159 -0.2186 -0.1251 -0.3979 -0.2395	-0.1735 -0.2944 0.1138 -0.3154 -0.4117 0.08587 -0.1039 -0.03759 -0.04554 -0.2383 -0.1383
300	0.2137 0.1559 0.345 -0.2283 0.1562 -0.2233 -0.06549 0.0491 -0.2934 -0.0909 0.3016	-0.0008462 0.3478 0.1619 -0.002811 -0.09797 -0.1876 -0.2589 0.1642 -0.2314 -0.3936 -0.08008	0.2693 -0.08645 -0.4031 -0.2721 -0.05968 0.6616 0.3998 -0.06486 0.1578 -0.03793 -0.1465	0.06238 0.3149 0.2736 0.1629 -0.2176 0.0672 0.146 0.1448 -0.1524 0.1092 -0.2808	0.4647 0.1789 0.1269 0.1137 0.02556 -0.1802 -0.3748 -0.1491 -0.2173 0.05779 0.1391	0.2716 0.1753 0.1655 0.7721 -0.1045 0.8026 0.07357 0.1651 -0.4623 -0.3263 0.2127	-0.1514 -0.5853 0.2684 0.007713 0.2195 0.3841 -0.1469 0.1369 -0.1054 -0.1937 0.03355	-0.5453 -0.159 -0.252 -0.06773 -0.3915 -0.4415 0.067 -0.06124 -0.1335 0.2954 -0.4074	0.3585 -0.05868 0.06456 0.3057 -0.1598 0.05006 -0.1902 -0.03422 -0.2896 -0.2497 0.3015	-0.1641 -0.5448 -0.2355 0.4017 -0.6491 0.3375 -0.02435 -0.3469 -0.1217 -0.3005 -0.4784	-0.1569 -0.1358 -0.06516 -0.4178 -0.3912 0.282 0.03498 -0.01297 0.1726 -0.2625 0.09371
400	0.3974 0.1552 0.4388 -0.3912 0.1542 -0.1813 -0.1483 0.1975 -0.2393 0.06631 0.2483	0.101 0.3089 0.5069 -0.0868 -0.3841 -0.2798 0.006113 0.02849 -0.3404 -0.4583 -0.1847	0.3233 0.1125 -0.6203 -0.2651 0.000346 0.7165 0.2365 -0.000899 0.2057 -0.06761 -0.07395	-0.06738 0.5564 0.505 -0.0574 -0.1194 0.01453 0.1267 0.1904 -0.1727 0.1091 -0.4819	0.48 0.04609 -0.1399 0.08261 -0.03211 -0.1707 -0.1674 -0.227 -0.3936 0.3034 0.2871	0.2234 0.3958 0.04379 0.5992 -0.4467 0.9898 0.1937 0.1904 -0.3499 -0.3672 0.2157	-0.1459 -0.4794 0.1038 -0.1334 0.1802 0.2601 0.04256 0.2831 -0.08406 -0.2412 -0.2515	-0.7926 -0.1407 0.01638 -0.1499 -0.4398 -0.6923 0.1328 -0.01176 0.1256 0.4726 -0.3644	0.3582 0.1554 0.3201 0.4069 -0.2381 0.4115 -0.1097 0.01677 -0.4032 -0.2842 0.325	-0.1975 -0.517 -0.2799 0.4306 -0.5529 0.2584 0.1185 -0.1745 0.06255 -0.2922 -0.5288	-0.1272 -0.1648 -0.08572 -0.3944 -0.7459 0.4969 -0.03279 0.2417 0.1382 -0.2874 -0.1428
500	0.4009 0.3047 0.1566 -0.3641 -0.1002 -0.0554 -0.4186 0.6156 -0.4196 0.1217 0.1119	0.1113 0.392 0.2252 -0.1552 -0.3219 -0.3243 0.09506 -0.07341 -0.1752 -0.4804 -0.5037	0.277 0.3793 -0.6495 -0.4436 -0.04619 0.5332 0.1453 0.1408 -0.1051 0.1349 0.205	-0.01311 0.681 0.4196 -0.3153 -0.05711 0.103 -0.1073 0.3058 -0.4757 0.1557 -0.3017	0.3444 -0.08468 -0.04661 0.2558 -0.1086 -0.1949 -0.05456 -0.1831 -0.4145 0.2638 0.319	0.3466 0.2809 0.1205 0.4044 -0.6636 0.8401 -0.01532 0.01637 -0.3286 -0.2899 0.5349	-0.1603 -0.4183 0.2245 0.0974 0.1442 0.2939 0.08982 0.5299 -0.1297 0.09143 -0.09469	-0.9484 -0.106 0.01933 -0.1116 -0.5179 -0.9566 0.1739 -0.1844 -0.03073 0.8943 -0.4981	0.4696 0.05438 0.3156 0.4348 -0.3841 0.3531 -0.07174 0.02315 -0.5045 -0.3801 0.1874	-0.4637 -0.5762 -0.06038 0.1903 -0.7114 0.09687 -0.04171 -0.3133 0.183 -0.05719 -0.2545	-0.07511 0.1538 -0.4019 -0.3027 -0.5692 0.6463 -0.2578 0.1944 0.2411 -0.2233 -0.2873
600	0.469 0.3575 0.1785 -0.5622 0.0307 0.06722 -0.6319 0.636 -0.3877 0.1213 -0.009682	0.1401 0.3666 0.2837 -0.3838 -0.5284 -0.3825 -0.02565 -0.282 -0.2144 -0.5562 -0.6289	0.3418 0.4595 -0.4822 -0.2322 -0.09383 0.4811 0.2063 0.1164 -0.05425 0.1751 0.1706	-0.09277 0.684 0.5136 -0.231 -0.232 0.07025 -0.2293 0.5596 -0.6281 0.3964 -0.2466	0.3785 0.04147 -0.0245 0.2828 -0.05041 0.1023 -0.1003 -0.1363 -0.4563 0.3165 0.1821	0.1805 0.3573 0.009394 0.4574 -0.8516 0.8909 0.07299 0.1888 -0.4388 -0.4164 0.6139	-0.3852 -0.7103 0.2648 0.1681 -0.1093 0.275 0.06361 0.7238 -0.2859 0.2314 -0.04409	-0.9976 -0.1942 0.1303 -0.1667 -0.4225 -0.9366 0.1675 -0.2381 0.1486 0.7477 -0.8523	0.503 0.06301 0.4167 0.4736 -0.5614 0.2576 -0.142 -0.05175 -0.6988 -0.6019 0.1326	-0.6496 -0.4658 -0.07214 0.2746 -0.7164 -0.02544 -0.06117 -0.1654 0.07247 -0.2908 -0.5709	-0.002704 0.364 -0.2471 -0.4546 -0.5684 0.6944 -0.1353 0.2372 0.179 -0.3812 -0.2281
700	0.4822 0.05269 0.0803 -0.6369 -0.06028 0.01445 -0.8977 0.4096 -0.1798 0.3662 -0.03903	0.3743 0.4034 0.2638 -0.3587 -0.6381 -0.4159 -0.28 -0.3222 -0.22 -0.4849 -1.153	0.4384 0.4305 -0.478 -0.5407 0.02532 0.3233 -0.01321 0.1616 0.06436 0.2185 0.3353	0.214 0.7864 0.3386 -0.08337 -0.06364 -0.07606 -0.2074 0.3708 -0.3665 0.5731 -0.2139	0.4821 0.1121 0.0507 0.07203 -0.0442 0.04549 0.04893 -0.08501 -0.6632 0.5185 0.09162	-0.035 0.4354 0.1845 0.5982 -0.8356 0.886 -0.0356 -0.1283 -0.6988 -0.3984 0.7338	-0.3458 -0.7794 0.09872 0.1696 -0.3054 0.1422 0.1529 0.8441 -0.3765 0.3659 -0.08762	-0.9827 -0.2396 0.4128 -0.04742 -0.4325 -1.094 0.3842 -0.2256 0.1917 0.711 -0.8628	0.5568 -0.01859 0.1497 0.3203 -0.2846 0.4272 -0.2003 -0.1061 -0.6943 -0.5423 0.1366	-0.4158 -0.2427 -0.1673 0.2056 -0.4817 0.09888 0.09987 0.01803 -0.1095 -0.5281 -0.628	0.2188 0.3392 -0.375 -0.4613 -0.6753 0.6835 -0.2037 0.2553 0.1583 -0.6271 -0.3288
800	0.3808 0.08711 0.1398 -0.8652 0.07264 0.01965 -0.7221 0.5358 -0.194 0.406 -0.06701	0.5011 0.4491 0.2505 -0.2586 -0.389 -0.3474 -0.3189 -0.3944 -0.178 -0.4072 -1.265	0.5992 0.4627 -0.4814 -0.5616 0.2663 0.3717 -0.1551 0.2447 -0.1011 0.2203 0.2902	0.1516 0.7449 0.331 -0.3596 -0.08211 0.07696 0.07775 0.3869 -0.3129 0.5779 -0.2258	0.6825 -0.1819 -0.09715 0.02597 -0.2971 0.05107 0.1061 0.1484 -0.6659 0.5234 0.1857	-0.02909 0.3595 0.267 0.6098 -0.9564 1.069 -0.2303 -0.088 -0.9318 -0.6296 0.8779	-0.2198 -0.6205 0.09731 0.2501 -0.2813 0.227 0.06617 0.9263 -0.2087 0.4003 -0.2846	-1.106 -0.2959 0.4295 0.05137 -0.4365 -1.215 0.2914 -0.1012 0.2059 0.9109 -0.7663	0.502 0.01447 0.02725 0.3249 -0.2575 0.4163 -0.4548 -0.1436 -0.6741 -0.5231 0.2164	-0.862 -0.1204 0.1337 0.2396 -0.3467 -0.007105 0.1864 0.06565 0.3253 -0.5755 -0.3929	0.281 0.307 -0.2588 -0.3828 -0.904 0.7344 0.007901 0.09385 0.3232 -1.004 -0.4759
900	0.2589 0.0731 0.201 -0.9893 0.3572 0.07512 -0.8803 0.3757 -0.1614 0.3684 -0.2147	0.7349 0.317 0.2997 -0.2522 -0.4291 -0.2821 0.03804 -0.5098 -0.2036 -0.4555 -1.227	0.3473 0.8336 -0.5931 -0.7418 0.3271 0.3835 -0.3492 0.2128 -0.161 0.4132 0.1737	0.1901 0.7384 0.3784 -0.4288 -0.2083 0.05279 0.1425 0.5683 -0.3905 0.5805 -0.154	0.7626 -0.2315 -0.2653 -0.06858 -0.4185 -0.006814 0.2184 0.2307 -0.6197 0.7458 -0.06817	-0.0372 0.1671 0.1974 0.8119 -0.9211 1.108 -0.1996 -0.06589 -1.027 -0.5318 0.9714	-0.09809 -0.6213 0.3194 0.1554 -0.267 0.2631 -0.05313 1.093 -0.288 0.5359 -0.2276	-0.9079 -0.4907 0.7837 0.3324 -0.5073 -1.283 0.2225 -0.3442 0.01147 0.9647 -0.7908	0.3949 -0.1342 0.02424 0.4869 -0.1795 0.5545 -0.3326 -0.06481 -0.6609 -0.466 0.3042	-1.115 -0.009054 0.1282 0.238 -0.1012 -0.08551 0.185 -0.1356 0.3121 -0.4714 -0.5282	0.3685 0.6287 -0.3306 -0.2104 -0.9534 0.5804 0.03779 0.04441 0.31 -0.9805 -0.5915
