0	0 0 0 0	0 0 0 0	0 0 0 0	0 0 0 0
100	0.1596 0.1519 -0.08266 0.0238	0.2923 -0.005547 0.03657 0.2662	-0.2254 -0.3551 0.2638 0.1209	0.03058 -0.02453 0.06138 -0.6295
200	0.1156 0.5675 0.1442 -0.00766	0.628 0.09952 0.09345 0.4723	-0.4268 -0.5198 0.2484 0.3747	0.05878 0.1429 0.5065 -0.8825
300	0.1086 0.874 0.0984 -0.3052	0.7629 0.1321 -0.2414 0.636	-0.6994 -0.7719 0.542 0.1269	0.2047 0.1735 0.6565 -1.027
400	0.1187 1.025 -0.2416 -0.4432	0.9503 0.2246 -0.3396 0.882	-1.021 -1.255 0.685 0.07305	0.3413 0.2857 0.9731 -1.25
500	0.2066 1.409 -0.4058 -0.2709	1.011 0.1795 -0.4075 0.9328	-0.8541 -1.561 0.7486 0.2396	0.1679 0.4302 1.023 -1.539
600	0.2316 1.606 -0.3999 -0.2828	1.367 0.1895 -0.1779 0.8353	-1.08 -1.836 0.8867 0.115	0.1951 0.4894 1.349 -1.654
700	0.2454 1.614 -0.3337 -0.7828	1.467 0.2773 -0.2767 0.553	-1.284 -1.86 0.8685 0.1586	0.3847 0.473 1.735 -1.979
800	0.1592 1.56 -0.4506 -0.8911	1.388 0.3129 -0.3491 0.6976	-1.308 -1.808 0.8351 0.3159	0.5768 0.5427 1.851 -2.067
900	0.215 1.615 -0.3399 -0.8092	1.289 0.1844 -0.3257 0.7281	-1.553 -1.952 0.8146 0.3704	0.5938 0.6206 1.802 -2.19
1000	0.1702 1.908 -0.6552 -0.6817	1.322 0.09546 -0.353 0.7696	-1.388 -1.995 0.8065 0.6249	0.5151 0.9168 1.985 -2.496
1100	0.2426 2.087 -0.7403 -0.5075	1.017 0.171 -0.3782 0.791	-1.4 -2.024 0.7412 0.5927	0.4297 1.017 2.057 -2.599
1200	0.2422 2.107 -0.7708 -0.4918	1.111 0.05697 -0.421 0.7056	-1.396 -2.114 0.8622 0.53	0.4184 1.008 2.242 -2.654
1300	0.2955 2.006 -0.9097 -0.5067	1.319 0.07392 -0.4402 0.7	-1.431 -2.123 0.8347 0.4367	0.5444 0.6243 2.202 -2.733
1400	0.3386 2.029 -0.9541 -0.5304	1.234 0.2299 -0.6481 0.7143	-1.373 -2.453 0.8306 0.4836	0.8392 0.5887 2.278 -2.78
1500	0.2774 2.119 -1.119 -0.7491	1.439 0.3004 -0.9349 0.7241	-1.664 -2.726 0.9328 0.4844	0.5085 0.6808 2.157 -2.911
1600	0.3627 2.215 -1.118 -0.632	1.666 0.325 -0.8726 0.7634	-1.603 -2.81 0.9949 0.5331	0.3271 0.7972 2.251 -2.951
1700	0.4279 2.377 -1.229 -0.7477	1.62 0.2652 -0.7935 0.5618	-1.616 -2.975 0.9422 0.3789	0.4899 0.9453 2.364 -3.156
1800	0.3741 2.556 -1.202 -0.4632	1.736 0.1668 -0.8223 0.5656	-1.776 -2.902 0.973 0.3348	0.5036 0.7982 2.313 -3.051
1900	0.4955 2.61 -1.24 -0.474	1.883 0.2328 -0.7765 0.5873	-1.724 -3.086 1.027 0.3361	0.4572 0.8013 2.169 -2.909
2000	0.4046 2.56 -1.262 -0.4078	1.671 0.2045 -0.8862 0.7536	-1.586 -3.326 0.9936 0.3878	0.328 0.6772 2.121 -2.852
2100	0.4892 2.567 -1.156 -0.2385	1.644 0.3185 -0.9172 0.6322	-1.73 -3.304 1.048 0.3988	0.3979 0.6718 2.011 -2.831
2200	0.3608 2.544 -1.262 -0.1792	1.684 0.2162 -1.038 0.7713	-1.799 -3.309 1.011 0.4333	0.3257 0.6578 1.944 -2.87
2300	0.3509 2.421 -1.309 -0.1019	1.7 0.2236 -1.107 0.8881	-1.785 -3.043 0.9457 0.5183	0.4608 0.6827 2.039 -2.918
2400	0.4021 2.483 -1.342 -0.1706	1.692 0.2541 -1.077 0.8044	-1.697 -3.06 0.972 0.4231	0.4474 0.5805 2.04 -2.879
2500	0.3536 2.913 -1.209 -0.1397	1.734 0.3546 -1.119 0.6771	-1.694 -3.127 0.9973 0.5118	0.3756 0.5872 2.054 -2.86
2600	0.4026 2.938 -1.235 -0.08642	1.707 0.3108 -1.018 0.5818	-1.58 -3.107 1.037 0.4101	0.4471 0.5757 1.975 -2.815
2700	0.5365 3.232 -1.241 0.08251	1.711 0.4535 -1.138 0.6101	-1.413 -3.169 1.091 0.3254	0.4188 0.3876 1.924 -2.858
2800	0.4876 3.334 -1.329 0.05104	1.75 0.4774 -1.079 0.5756	-1.396 -3.453 1.146 0.3118	0.555 0.5905 2.044 -2.755
2900	0.5226 3.28 -1.31 -0.08337	1.906 0.4493 -1.002 0.6334	-1.446 -3.483 1.135 0.2398	0.4774 0.5308 2.147 -2.793
3000	0.398 3.277 -1.198 -0.09151	1.78 0.4391 -1.088 0.6179	-1.596 -3.5 1.089 0.13	0.5972 0.6813 2.156 -2.856
3100	0.38 3.249 -1.013 0.09023	1.786 0.4235 -0.9183 0.429	-1.71 -3.962 1.087 -0.007603	0.5455 0.498 2.378 -2.949
3200	0.5038 3.232 -0.9839 0.1598	1.745 0.3721 -0.5771 0.3676	-1.585 -4.096 1.227 0.03805	0.4425 0.4751 2.409 -2.902
3300	0.5478 3.277 -0.9708 0.1493	1.86 0.532 -0.6213 0.421	-1.797 -4.276 1.285 0.009326	0.287 0.2766 2.57 -2.883
3400	0.6644 3.208 -0.9173 0.2815	2.039 0.5682 -0.6471 0.3024	-1.707 -4.324 1.33 -0.1006	0.1848 0.06667 2.781 -3.004
3500	0.6911 3.011 -0.8529 0.3312	1.886 0.6662 -0.6666 -0.01954	-1.562 -4.241 1.259 0.04525	0.3684 0.0752 2.895 -2.965
3600	0.5861 2.979 -0.7938 0.1708	2.004 0.565 -0.6437 0.08322	-1.405 -4.362 1.215 0.06357	0.1416 0.1631 2.995 -3.084
3700	0.758 3.021 -0.7105 0.04649	1.952 0.6625 -0.7375 0.05871	-1.485 -4.649 1.409 0.207	0.1496 0.4601 2.873 -2.834
3800	0.7169 2.893 -0.5085 0.375	1.992 0.6877 -0.2878 0.493	-1.701 -4.561 1.424 0.08631	0.2639 0.3647 3.067 -2.858
3900	0.7338 3.026 -0.6806 0.5202	2.07 0.7101 -0.4855 0.6384	-1.616 -4.73 1.384 0.125	0.2923 0.2961 3.125 -2.902
4000	0.7912 3.06 -0.6963 0.5397	2.046 0.6475 -0.5605 0.6582	-1.608 -4.682 1.447 0.2532	0.3691 0.2365 3.15 -3.043
4100	0.7143 3.013 -0.8109 0.4792	2.077 0.7433 -0.5214 0.8112	-1.639 -4.673 1.429 0.2136	0.4587 0.1504 3.122 -3.02
4200	0.8124 2.844 -0.7131 0.4745	2.165 0.8199 -0.6947 1.067	-1.745 -4.675 1.472 0.1136	0.4782 0.4097 3.043 -2.96
4300	0.7576 2.802 -0.5064 0.4374	2.17 0.7373 -0.5283 0.8873	-1.82 -4.612 1.441 0.3339	0.3602 0.5535 3.022 -2.889
4400	0.7233 2.844 -0.5122 0.3998	2.11 0.6273 -0.4935 0.7995	-1.867 -4.602 1.395 0.2927	0.1875 0.4899 3.014 -2.871
4500	0.8518 2.958 -0.7086 0.4814	2.318 0.7446 -0.6156 0.7864	-1.729 -4.487 1.492 0.1912	0.2119 0.4315 3.013 -2.911
4600	0.8236 3.163 -0.9121 0.5527	2.235 0.8101 -0.6675 0.8004	-1.887 -4.58 1.511 0.2578	0.2346 0.3901 2.923 -2.934
4700	0.8656 3.286 -0.7551 0.5388	2.359 0.74 -0.599 0.8557	-1.691 -4.651 1.417 0.2234	0.3805 0.3819 3.113 -3.012
4800	0.8683 3.203 -0.9537 0.4611	2.352 0.7485 -0.6103 0.7857	-1.635 -4.666 1.557 0.223	0.5376 0.2973 3.294 -3.245
4900	0.8581 3.287 -0.8904 0.4725	2.636 0.8381 -0.7055 0.7647	-1.509 -4.794 1.539 0.137	0.5009 0.2879 3.294 -3.23
5000	0.8707 3.443 -0.8759 0.5493	2.513 0.7353 -0.6723 0.6794	-1.453 -5.047 1.435 -0.0004871	0.661 0.3384 3.42 -3.296
5100	0.9028 3.504 -0.7694 0.5852	2.767 0.8017 -0.5267 0.7747	-1.542 -5.178 1.536 -0.02513	0.6742 0.4599 3.42 -3.247
5200	0.9111 3.512 -0.7467 0.5828	2.472 0.8375 -0.4064 0.8135	-1.642 -5.214 1.578 -0.1413	0.7343 0.3783 3.468 -3.234
5300	0.9567 3.543 -0.7409 0.6723	2.474 0.8144 -0.4546 0.8597	-1.613 -5.319 1.622 -0.2955	0.7191 0.3785 3.494 -3.276
5400	0.9128 3.44 -0.7359 0.7609	2.549 0.7595 -0.4868 0.8632	-1.551 -5.357 1.537 -0.3163	0.7981 0.3318 3.515 -3.23
5500	0.8294 3.281 -0.9443 0.9088	2.993 0.7143 -0.7164 1.064	-1.398 -5.549 1.469 -0.4476	0.6571 0.1637 3.321 -3.216
5600	0.8073 3.271 -0.9649 0.8666	2.996 0.7714 -0.8076 0.8195	-1.397 -5.697 1.496 -0.446	0.4766 0.2791 3.299 -3.447
5700	0.7787 3.032 -0.7459 0.8185	3.071 0.848 -0.903 0.9741	-1.504 -5.788 1.588 -0.33	0.661 0.1175 3.283 -3.323
5800	0.6795 2.996 -0.6079 0.8303	3.207 0.8434 -0.7979 0.8941	-1.517 -5.863 1.576 -0.183	0.5069 0.1503 3.237 -3.278
5900	0.6136 3.092 -0.6013 0.7954	3.269 0.6889 -0.8273 0.9806	-1.385 -5.858 1.415 -0.09163	0.4386 0.1783 3.215 -3.291
