0	0 0 0 0	0 0 0 0	0 0 0 0	0 0 0 0
100	0.4209 0.1681 -0.3517 -0.1514	0.306 -0.5093 0.03274 0.1778	-0.2762 -0.2384 0.5371 0.1218	-0.1228 -0.23 0.3051 -0.392
200	0.6016 0.4494 -0.1785 -0.1201	0.9598 -0.5781 -0.02019 0.07466	-0.3545 -0.02842 0.5826 0.5185	-0.4009 -0.4374 0.7876 -0.4458
300	0.9891 0.5369 -0.2617 -0.3248	1.254 -0.8679 -0.6055 0.1892	-0.5383 0.008618 0.8638 0.3781	-0.6906 -0.6502 1.253 -0.6188
400	1.05 0.6163 -0.4376 -0.4274	1.656 -0.7842 -0.9162 0.3903	-0.867 -0.186 0.9341 0.4269	-0.7535 -0.6042 1.729 -0.4941
500	1.217 1.006 -0.6621 -0.3173	2.083 -0.7757 -1.095 0.1261	-0.7983 -0.05202 1.099 0.5424	-1.241 -0.8313 2.134 -0.7172
600	1.209 1.328 -0.7804 -0.4721	2.56 -0.7221 -0.9469 -0.1311	-1.078 -0.2467 1.303 0.4572	-1.267 -1.07 2.69 -0.6165
700	1.476 1.263 -0.5018 -0.7272	2.808 -0.8956 -1.058 -0.3688	-1.367 -0.3865 1.475 0.3853	-1.439 -1.308 3.431 -0.8618
800	1.411 1.356 -0.5777 -0.7721	3.076 -0.9032 -1.291 -0.217	-1.412 -0.4029 1.521 0.5672	-1.628 -1.467 3.737 -0.8961
900	1.568 1.179 -0.4918 -0.838	3.21 -1.249 -1.345 -0.5481	-1.887 -0.4745 1.588 0.5148	-1.578 -1.331 4.013 -1.188
1000	1.502 1.368 -0.8386 -0.7682	3.712 -1.246 -1.572 -0.6982	-1.72 -0.2991 1.613 0.5273	-1.756 -1.161 4.127 -1.427
1100	1.545 1.477 -0.9354 -0.4591	3.859 -1.116 -1.495 -0.6545	-1.75 -0.2789 1.559 0.5791	-1.646 -1.202 4.441 -1.591
1200	1.569 1.64 -1.363 -0.5365	4.335 -1.299 -1.756 -0.7672	-2.049 -0.1292 1.622 0.4388	-1.793 -1.323 4.589 -1.658
1300	1.764 1.437 -1.593 -0.8002	4.878 -1.64 -1.673 -0.7689	-2.048 0.02341 1.828 0.402	-1.711 -1.506 4.802 -1.531
1400	1.901 1.661 -1.736 -0.9047	4.866 -1.703 -1.714 -0.7613	-2.211 -0.1192 1.915 0.4711	-1.668 -1.698 4.983 -1.543
1500	1.847 1.761 -1.845 -0.9919	4.972 -1.735 -1.945 -0.6394	-2.415 0.09895 1.833 0.4624	-1.817 -1.772 5.052 -1.656
1600	1.845 1.677 -1.831 -1.048	5.133 -1.83 -1.815 -0.7503	-2.57 -0.03601 1.846 0.5725	-1.743 -1.759 5.08 -1.827
1700	1.92 1.878 -1.943 -1.237	5.128 -1.868 -1.67 -0.9205	-2.77 0.05698 1.882 0.6256	-1.66 -1.598 4.985 -1.973
1800	1.788 1.925 -1.924 -0.6845	5.358 -2.236 -1.637 -1.022	-2.776 0.1302 1.829 0.5366	-1.446 -1.974 5.082 -2.009
1900	1.9 2.034 -2.092 -0.5811	5.391 -2.46 -1.47 -1.208	-2.848 0.122 1.87 0.438	-1.646 -2.293 5.043 -1.835
2000	1.958 1.869 -2.115 -0.524	5.451 -2.407 -1.344 -1.113	-2.845 0.2261 1.95 0.4762	-1.678 -2.533 5.046 -1.83
2100	2.19 1.659 -2.108 -0.3731	5.252 -2.312 -1.21 -1.048	-2.871 0.1595 2.202 0.4682	-1.66 -2.74 5.142 -2.006
2200	2.177 1.642 -2.215 -0.2725	5.322 -2.439 -1.347 -0.9132	-2.975 0.27 2.272 0.4833	-1.724 -2.802 5.053 -2.067
2300	2.272 1.547 -2.33 -0.3835	5.374 -2.385 -1.406 -0.6993	-3.001 0.5028 2.216 0.523	-1.421 -2.806 5.005 -1.873
2400	2.4 1.497 -2.29 -0.3531	5.36 -2.392 -1.268 -0.7894	-3.065 0.5471 2.371 0.4039	-1.312 -2.877 4.81 -1.889
2500	2.373 1.639 -2.085 -0.4294	5.356 -2.324 -1.236 -0.9314	-2.983 0.6784 2.396 0.4386	-1.419 -3.112 4.7 -1.924
2600	2.363 1.631 -2.177 -0.2039	5.163 -2.397 -1.253 -1.006	-3.122 0.7419 2.319 0.2768	-1.566 -3.146 4.688 -1.96
2700	2.409 1.571 -2.264 0.07054	5.19 -2.346 -1.271 -0.9021	-3.188 0.783 2.408 0.1856	-1.455 -3.367 4.717 -1.903
2800	2.391 1.645 -2.233 -0.05104	5.144 -2.099 -1.145 -1.05	-3.146 0.9811 2.349 0.1382	-1.591 -3.434 4.94 -1.892
2900	2.281 1.381 -2.315 -0.01427	5.317 -2.193 -0.7992 -0.9429	-3.08 1.069 2.283 0.0244	-1.241 -3.452 5.029 -1.843
3000	2.239 1.401 -2.26 0.07613	5.153 -2.279 -0.9011 -0.9322	-3.123 1.051 2.223 -0.03127	-1.219 -3.39 5.2 -1.981
3100	2.177 1.426 -2.038 0.07834	5.208 -2.348 -0.8452 -1.061	-3.291 0.7995 2.174 0.02361	-1.327 -3.553 5.521 -1.781
3200	2.177 1.605 -1.885 0.1257	5.044 -2.395 -0.6536 -1.274	-3.154 0.6749 2.169 0.1982	-1.373 -3.445 5.784 -1.776
3300	2.331 1.631 -1.943 -0.02648	5.151 -2.57 -0.5445 -1.556	-3.132 0.5414 2.387 0.1508	-1.526 -3.383 5.957 -1.69
3400	2.353 1.632 -1.99 0.1438	5.213 -2.502 -0.5855 -1.663	-3.077 0.6275 2.332 -0.1824	-1.555 -3.657 5.959 -1.765
3500	2.395 1.74 -2.096 0.2102	5.364 -2.359 -0.6367 -1.873	-2.996 0.7831 2.354 -0.0204	-1.704 -3.736 5.928 -1.863
3600	2.33 1.474 -2.041 0.09998	5.417 -2.165 -0.504 -1.902	-2.985 0.7539 2.394 0.1994	-1.743 -3.818 6.19 -1.602
3700	2.445 1.632 -2.228 -0.142	5.171 -2.043 -0.4228 -1.739	-3.053 0.6141 2.3 0.2107	-1.72 -3.583 6.301 -1.639
3800	2.268 1.477 -2.11 -0.0467	5.258 -1.972 -0.1151 -1.339	-3.258 0.5803 2.353 0.374	-1.497 -3.789 6.478 -1.643
3900	2.438 1.587 -2.275 -0.05907	5.331 -2.001 0.07289 -1.314	-3.359 0.5892 2.411 0.2814	-1.381 -3.718 6.553 -1.699
4000	2.378 1.503 -2.297 -0.1307	5.357 -2.203 -0.06235 -1.324	-3.372 0.4944 2.426 0.4255	-1.335 -3.833 6.786 -1.543
4100	2.269 1.607 -2.341 0.05671	5.286 -2.201 -0.00198 -1.355	-3.422 0.4694 2.409 0.3451	-1.457 -4.009 6.94 -1.717
4200	2.385 1.426 -2.078 -0.1223	5.323 -2.224 -0.03993 -1.174	-3.364 0.3955 2.43 0.3703	-1.597 -3.905 7.015 -1.698
4300	2.349 1.449 -1.832 -0.128	5.52 -2.428 -0.211 -1.26	-3.538 0.4529 2.299 0.5627	-1.543 -3.845 6.898 -1.763
4400	2.35 1.359 -1.85 -0.3209	5.46 -2.491 -0.1632 -1.302	-3.52 0.5011 2.294 0.6464	-1.542 -3.708 6.852 -1.698
4500	2.607 1.177 -1.713 -0.4055	5.691 -2.431 -0.2486 -1.471	-3.336 0.5792 2.465 0.5479	-1.553 -3.696 6.858 -1.667
4600	2.519 1.205 -1.682 -0.3944	5.668 -2.448 -0.2862 -1.556	-3.621 0.665 2.489 0.5376	-1.649 -3.691 6.887 -1.638
4700	2.244 1.356 -1.521 -0.418	5.898 -2.316 -0.04424 -1.604	-3.453 0.5421 2.268 0.5632	-1.503 -3.373 6.863 -1.556
4800	2.286 1.387 -1.445 -0.5266	5.978 -2.279 -0.05189 -1.665	-3.461 0.4127 2.369 0.5664	-1.478 -3.408 6.798 -1.614
4900	2.299 1.481 -1.303 -0.4391	5.743 -2.241 -0.09038 -1.672	-3.353 0.3464 2.262 0.5222	-1.757 -3.513 6.446 -1.87
5000	2.54 1.499 -1.375 -0.3565	5.633 -2.435 0.119 -1.532	-3.592 0.2198 2.429 0.5329	-2.012 -3.491 6.728 -1.925
5100	2.657 1.611 -1.256 -0.4367	6.035 -2.363 0.3936 -1.376	-3.678 -0.01067 2.622 0.5637	-2.049 -3.558 6.918 -1.652
5200	2.614 1.807 -1.311 -0.4489	5.97 -2.274 0.3469 -1.345	-3.611 -0.07012 2.601 0.5178	-2.005 -3.582 7.086 -1.518
5300	2.592 1.788 -1.305 -0.2508	5.731 -2.572 0.5528 -1.412	-3.563 -0.1848 2.557 0.3291	-1.915 -3.699 6.931 -1.404
5400	2.62 1.693 -1.232 -0.1741	5.797 -2.693 0.5953 -1.37	-3.695 -0.06314 2.611 0.5159	-1.718 -3.717 6.87 -1.402
5500	2.727 1.632 -1.419 0.02316	6.174 -2.962 0.3567 -1.146	-3.676 -0.1506 2.754 0.5156	-1.706 -3.902 6.848 -1.554
5600	2.652 1.627 -1.526 0.1956	6.308 -2.936 0.3325 -1.144	-3.616 -0.07297 2.687 0.5075	-1.749 -3.958 6.915 -1.596
5700	2.633 1.478 -1.151 0.00857	6.516 -3.022 0.2657 -1.141	-3.55 -0.09091 2.622 0.5616	-1.821 -4.06 6.863 -1.514
5800	2.577 1.475 -1.07 0.02377	6.691 -2.767 0.1622 -1.211	-3.625 0.1017 2.662 0.7781	-1.885 -3.935 6.889 -1.583
5900	2.622 1.552 -1.205 0.04944	6.857 -2.82 0.2901 -1.011	-3.663 0.1903 2.576 0.8006	-1.579 -3.933 7.039 -1.499
6000	2.746 1.499 -1.332 0.00457	6.798 -2.717 0.4551 -1.18	-3.674 0.07682 2.669 0.7784	-1.559 -3.973 7.111 -1.346
6100	2.629 1.557 -1.301 -0.007853	6.881 -2.52 0.3732 -1.294	-3.554 -0.01042 2.629 0.8466	-1.331 -4.047 7.173 -1.579
